video,gloss,dutch,category,handshape,location,path_shape,path_repetition,handedness,reference,iconicity_binary,iconicity_rating
sign_019.mp4,PRAM,BUGGY,arbitrary,H1,L5,straight,single,two-handed symmetrical,na,no,1.74
sign_020.mpeg,TO-INJECT,INJECTEREN,low iconic,H7,L3,straight,repeated,one-handed,action,yes,5.0
sign_021.mp4,TO-PUMP,OPPEMPEN,high iconic,H1,L5,circular,repeated,two-handed symmetrical,action,yes,6.11
sign_022.mp4,SPOON,LEPEL,high iconic,H1,L5,arched,single,one-handed,action,no,5.3
sign_024.mpeg,BOX,DOOS,low iconic,H2,L5,arched,single,two-handed symmetrical,object,yes,5.05
sign_025.mp4,CAR,AUTO,high iconic,H1,L5,arched,repeated,two-handed symmetrical,action,yes,4.7
sign_026.mp4,TO-PLAY-CARDS,KAARTEN,high iconic,H2,L5,arched,single,two-handed symmetrical,action,yes,3.8
sign_027.mp4,TO-SWIM,ZWEMMEN,high iconic,H3,L5,circular,repeated,two-handed symmetrical,action,yes,6.11
sign_028.mp4,TOILET,TOILET,arbitrary,H7,L5,hold,repeated,one-handed,na,no,1.79
sign_029.mpeg,TO-STAPLE,NIETEN,low iconic,H1,L5,hold,single,one-handed,action,yes,4.89
sign_031.mpeg,AMBULANCE,AMBULANCE,arbitrary,H1,L1,circular,repeated,two-handed symmetrical,na,no,3.11
sign_032.mpeg,BUS,BUS,arbitrary,H2,L5,hold,repeated,two-handed symmetrical,na,no,1.74
sign_033.mp4,BRIDGE,BRUG,high iconic,H2,L5,arched,single,one-handed,object,yes,4.6
sign_034.mpeg,INTERPRETER,TOLK,arbitrary,H2,L4,hold,repeated,two-handed asymmetrical,na,no,2.74
sign_035.mpeg,TO-LAUGH,LACHEN,arbitrary,H3,L2,straight,repeated,one-handed,na,no,2.26
sign_036.mpeg,BED,BED,low iconic,H6,L5,straight,single,two-handed symmetrical,object,yes,3.21
sign_037.mp4,TABLE,TAFEL,high iconic,H6,L5,straight,single,two-handed symmetrical,object,yes,5.7
sign_038.mpeg,UMBRELLA,PARAPLU,low iconic,H1,L5,straight,single,two-handed asymmetrical,combined,yes,5.42
sign_039.mpeg,FRUIT,FRUIT,arbitrary,H3,L1,circular,repeated,one-handed,na,no,1.47
sign_040.mp4,TO-ERASE,UITGUMMEN,high iconic,H1,L5,straight,repeated,one-handed,action,yes,4.2
sign_041.mpeg,SHEEP,SCHAAP,arbitrary,H2,L2,straight,repeated,two-handed symmetrical,na,no,2.16
sign_042.mpeg,TO-ARGUE,RUZIE,arbitrary,H4,L5,circular,repeated,two-handed symmetrical,na,no,2.94
sign_043.mp4,BIRD,VOGEL,high iconic,H2,L5,hold,repeated,two-handed symmetrical,action,yes,6.42
sign_044.mpeg,KIWI,KIWI,arbitrary,H4,L4,arched,single,two-handed asymmetrical,na,no,2.06
sign_045.mp4,BLANKET,DEKEN,high iconic,H3,L5,arched,single,two-handed symmetrical,action,yes,3.8
sign_046.mpeg,RATTLE,RAMMELAAR,low iconic,H1,L5,straight,repeated,one-handed,action,yes,4.75
sign_047.mp4,HELICOPTER,HELIKOPTER,high iconic,H4,L5,circular,repeated,one-handed,combined,yes,4.6
sign_048.mpeg,TOWEL,HANDDOEK,high iconic,H1,L5,straight,repeated,two-handed symmetrical,action,yes,5.1
sign_049.mpeg,BOTTLE,FLES,low iconic,H3,L5,straight,single,one-handed,object,yes,3.68
sign_050.mpeg,BEAR,BEER,arbitrary,H3,L5,straight,single,two-handed symmetrical,na,no,2.89
sign_051.mpeg,TO-JUGGLE,JONGLEREN,low iconic,H3,L5,circular,repeated,two-handed symmetrical,action,yes,5.42
sign_052.mpeg,WATER,WATER,arbitrary,H4,L1,hold,repeated,one-handed,na,no,1.63
sign_053.mp4,TO-BREAK,BREKEN,high iconic,H1,L5,arched,single,two-handed symmetrical,action,yes,6.79
sign_054.mp4,TELEPHONE,TELEFOON,high iconic,H6,L1,hold,single,one-handed,combined,yes,6.22
sign_055.mpeg,DOOR,DEUR,low iconic,H2,L4,arched,repeated,two-handed asymmetrical,object,yes,4.0
sign_056.mpeg,TO-CRY,HUILEN,low iconic,H4,L1,straight,repeated,two-handed symmetrical,combined,yes,6.74
sign_057.mpeg,SOFA,SOFA,arbitrary,H6,L5,straight,single,two-handed symmetrical,na,no,2.26
sign_058.mpeg,HORSE,PAARD,arbitrary,H4,L4,straight,repeated,two-handed asymmetrical,na,no,1.67
sign_059.mpeg,TO-PUT-CLOTHES-ON,AANKLEDEN,low iconic,H2,L2,straight,repeated,two-handed symmetrical,action,yes,3.32
sign_060.mpeg,PISTOL,PISTOL,low iconic,H5,L5,hold,repeated,one-handed,combined,yes,5.61
sign_061.mpeg,TO-DIE,OVERLIJDEN,arbitrary,H2,L5,arched,single,two-handed symmetrical,na,no,2.58
sign_062.mp4,BICYCLE,FIETS,high iconic,H1,L5,circular,repeated,two-handed symmetrical,combined,yes,6.44
sign_063.mpeg,LIGHTBULB,GLOEILAMP,arbitrary,H4,L1,hold,repeated,one-handed,na,no,1.22
sign_064.mpeg,TO-CRASH,BOTSEN,low iconic,H3,L5,straight,single,two-handed symmetrical,action,yes,5.79
sign_065.mpeg,WHEELCHAIR,ROLSTOEL,low iconic,H7,L5,straight,repeated,two-handed symmetrical,action,yes,4.0
sign_066.mpeg,PLANE,VLIEGTUIG,low iconic,H6,L5,straight,single,one-handed,combined,yes,4.11
sign_067.mpeg,TO-KNOCK,KLOPPEN,low iconic,H5,L5,hold,repeated,one-handed,action,yes,6.05
sign_068.mpeg,TREE,BOOM,arbitrary,H4,L5,arched,single,two-handed symmetrical,na,no,2.26
sign_069.mp4,TO-SMS,SMSEN,high iconic,H5,L5,circular,repeated,one-handed,action,yes,4.2
sign_070.mpeg,BUTTERFLY,VLINDER,low iconic,H2,L5,straight,single,two-handed symmetrical,object,yes,5.94
sign_071.mpeg,FIRE,VUUR,arbitrary,H2,L5,arched,single,two-handed symmetrical,na,no,2.11
sign_072.mpeg,TO-ORDER,BESTELLEN,arbitrary,H4,L1,arched,single,one-handed,na,no,2.44
sign_073.mpeg,TO-COOK,KOKEN,arbitrary,H4,L5,straight,repeated,two-handed symmetrical,na,no,2.11
sign_074.mpeg,LAPTOP,LAPTOP,low iconic,H2,L4,arched,single,two-handed asymmetrical,object,yes,5.44
sign_075.mpeg,PENGUIN,PENGUIN,low iconic,H2,L5,hold,repeated,two-handed symmetrical,combined,yes,4.78
sign_076.mp4,CELL,GEVANGENIS,high iconic,H1,L5,straight,single,two-handed symmetrical,action,yes,3.8
sign_077.mpeg,TO-FLY,VLIEGEN,low iconic,H6,L5,straight,single,one-handed,combined,yes,5.74
sign_078.mp4,TO-CUT,KNIPPEN,high iconic,H6,L5,straight,repeated,one-handed,combined,yes,6.61
sign_079.mpeg,PERSON,PERSOON,arbitrary,H7,L2,straight,single,one-handed,na,no,2.53
sign_080.mpeg,CAT,KAT,low iconic,H6,L1,straight,single,two-handed symmetrical,object,yes,3.61
sign_081.mp4,DRILL,BOOR,high iconic,H6,L5,straight,single,one-handed,object,yes,3.8
sign_082.mpeg,DOG,HOND,arbitrary,H3,L5,straight,repeated,two-handed symmetrical,na,no,2.69
sign_083.mp4,CURTAINS,GORDIJNEN,high iconic,H1,L5,straight,single,two-handed symmetrical,action,yes,4.7
sign_084.mpeg,MUMMY,MAMA,arbitrary,H6,L1,hold,repeated,one-handed,na,no,2.06
sign_085.mpeg,EAGLE,ADELAAR,low iconic,H5,L1,hold,single,one-handed,object,yes,5.53
sign_086.mp4,SUITCASE,KOFFER,high iconic,H1,L5,straight,repeated,one-handed,action,yes,3.6
sign_087.mpeg,CHICKEN,KIP,low iconic,H6,L5,hold,repeated,one-handed,combined,yes,3.83
sign_088.mp4,MONKEY,AAP,high iconic,H3,L2,hold,repeated,two-handed symmetrical,action,yes,4.5
sign_089.mp4,PIANO,PIANO,high iconic,H3,L5,straight,repeated,two-handed symmetrical,action,yes,6.05
sign_090.mpeg,PUPPET,POP,arbitrary,H3,L5,hold,repeated,one-handed,na,no,1.53
sign_091.mp4,KEY,SLEUTEL,high iconic,H1,L5,hold,repeated,one-handed,action,yes,6.26
sign_092.mp4,BABY,BABY,high iconic,H2,L5,straight,repeated,two-handed symmetrical,action,yes,6.39
sign_093.mpeg,ELEPHANT,OLIFANT,low iconic,H3,L5,arched,single,one-handed,object,yes,6.53
sign_094.mpeg,TO-STEAL,STELEN,low iconic,H3,L5,hold,single,one-handed,action,yes,5.11
sign_095.mpeg,DOCTOR,DOKTER,arbitrary,H7,L1,hold,repeated,one-handed,na,no,1.74
sign_096.mpeg,TO-GOSSIP,RODDELEN,arbitrary,H3,L5,straight,repeated,two-handed symmetrical,na,no,2.0
sign_097.mpeg,SNAKE,SLANG,low iconic,H6,L5,arched,repeated,one-handed,combined,yes,5.74
sign_098.mpeg,TO-CUT,SNIJDEN,low iconic,H4,L4,hold,repeated,two-handed asymmetrical,combined,yes,5.51
